	CMx	CMy	CMz
	  -0.4138751919	  -0.4073380950	   0.4199463888
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6238541702	  -0.7417758270	   0.2129715033
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.4088686590	  -0.4023315620	   0.4149398559
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6312871976	  -0.7547946400	   0.2117367141
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.4038621260	  -0.3973250291	   0.4099333230
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6419509232	  -0.7721229279	   0.2088572066
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3988555931	  -0.3923184961	   0.4049267900
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6595335179	  -0.7941368679	   0.2051570873
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3938490602	  -0.3873119632	   0.3999202571
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6746282744	  -0.8197604867	   0.2016125795
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3888425273	  -0.3823054302	   0.3949137242
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6811478892	  -0.8452401151	   0.1978324366
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3838359944	  -0.3772988973	   0.3899071913
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6860812110	  -0.8692113181	   0.1919830301
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3788294615	  -0.3722923643	   0.3849006584
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6948488971	  -0.8844279514	   0.1837145836
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3738229286	  -0.3672858314	   0.3798941255
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6929644579	  -0.8813189878	   0.1666212679
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3688163957	  -0.3622792984	   0.3748875925
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6793811248	  -0.8616189683	   0.1420101444
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3638098628	  -0.3572727654	   0.3698810596
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.6440338278	  -0.8226164465	   0.1057987236
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3588033299	  -0.3522662324	   0.3648745267
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.5962584856	  -0.7780863834	   0.0690275471
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3537967970	  -0.3472596995	   0.3598679938
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.5505708877	  -0.7387272087	   0.0427264402
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3487902641	  -0.3422531665	   0.3548614609
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.5201017066	  -0.7076219558	   0.0252910083
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3437837312	  -0.3372466335	   0.3498549279
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.5015781744	  -0.6740699023	   0.0114490003
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3387771982	  -0.3322401006	   0.3448483950
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.4634390705	  -0.6309338457	  -0.0065947005
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3337706653	  -0.3272335676	   0.3398418621
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.4278549631	  -0.5847501210	  -0.0249850768
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3287641324	  -0.3222270346	   0.3348353292
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.3898453885	  -0.5367634419	  -0.0443636598
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3237575995	  -0.3172205017	   0.3298287962
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.3509827683	  -0.4891035796	  -0.0638671465
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3187510666	  -0.3122139687	   0.3248222633
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.3142716539	  -0.4411534345	  -0.0873046695
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.3137445336	  -0.3072074357	   0.3198157304
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -0.2768320733	  -0.3971161624	  -0.1119104952
Center of Mass (Angs):
	CMx	CMy	CMz
