Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156652	   0.6891207975
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5816644218	  -2.9304051227	   1.2352012597
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156652	   0.6804492241
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5802931474	  -2.9274434986	   1.2319289823
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156652	   0.6717776507
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5768282972	  -2.9192161287	   1.2216092640
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156652	   0.6631060772
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5718017259	  -2.9073411055	   1.2051321415
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156652	   0.6544345038
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5654676819	  -2.8924538107	   1.1839895795
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156652	   0.6457629304
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5583795678	  -2.8755966071	   1.1592792019
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156653	   0.6370913570
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5509963385	  -2.8579552450	   1.1324003375
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156653	   0.6284197835
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5433916204	  -2.8397819855	   1.1054839163
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156653	   0.6197482101
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5367207532	  -2.8233098700	   1.0797805827
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156653	   0.6110766367
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5312494530	  -2.8091630618	   1.0569044072
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612272	  -0.0067156653	   0.6024050633
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5270685195	  -2.7976790428	   1.0379276170
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612271	  -0.0067156654	   0.5937334898
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5242036039	  -2.7890007997	   1.0235899782
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612271	  -0.0067156654	   0.5850619164
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5232293237	  -2.7839944081	   1.0142333931
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612271	  -0.0067156654	   0.5763903430
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5242216153	  -2.7831009580	   1.0106240754
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612270	  -0.0067156654	   0.5677187695
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5271487870	  -2.7860461560	   1.0127111659
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612270	  -0.0067156655	   0.5590471961
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5312687034	  -2.7917620196	   1.0205703343
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612270	  -0.0067156655	   0.5503756227
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5377309062	  -2.8011110906	   1.0336044206
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612269	  -0.0067156655	   0.5417040493
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5454005444	  -2.8134864558	   1.0506519053
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612269	  -0.0067156656	   0.5330324758
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5538549857	  -2.8271130626	   1.0698907055
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612269	  -0.0067156656	   0.5243609024
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5622900809	  -2.8412483390	   1.0892496128
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612268	  -0.0067156656	   0.5156893290
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5708118556	  -2.8553052499	   1.1064435845
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612268	  -0.0067156657	   0.5070177555
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5794239534	  -2.8666483469	   1.1184059689
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612268	  -0.0067156657	   0.4983461821
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5851758017	  -2.8760332962	   1.1228059346
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612267	  -0.0067156657	   0.4896746087
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5905884884	  -2.8807212732	   1.1168794058
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612267	  -0.0067156657	   0.4810030353
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5920872381	  -2.8825410103	   1.0992470324
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612267	  -0.0067156658	   0.4723314618
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5910144669	  -2.8800544936	   1.0684185017
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612266	  -0.0067156658	   0.4636598884
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5848597320	  -2.8740870836	   1.0244209153
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612266	  -0.0067156658	   0.4549883150
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5737744934	  -2.8635814147	   0.9664240640
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612265	  -0.0067156658	   0.4463167416
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5617988244	  -2.8488191970	   0.8951407469
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612265	  -0.0067156659	   0.4376451681
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5509561889	  -2.8295978981	   0.8112870541
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612264	  -0.0067156659	   0.4289735947
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5401145964	  -2.8058450798	   0.7155746314
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612263	  -0.0067156659	   0.4203020213
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5379030674	  -2.7780659128	   0.6100312197
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612263	  -0.0067156659	   0.4116304478
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5262838720	  -2.7547794416	   0.4961848560
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612262	  -0.0067156659	   0.4029588744
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5150246215	  -2.7305500991	   0.3767757233
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612262	  -0.0067156659	   0.3942873010
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4959983125	  -2.7133357533	   0.2538521259
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612261	  -0.0067156659	   0.3856157275
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4886405395	  -2.6950267563	   0.1292370302
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612261	  -0.0067156659	   0.3769441541
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4806549349	  -2.6782491664	   0.0040681841
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612260	  -0.0067156659	   0.3682725807
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4809430545	  -2.6642898776	  -0.1198127312
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612260	  -0.0067156659	   0.3596010073
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4768538083	  -2.6575217014	  -0.2389055043
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612259	  -0.0067156660	   0.3509294338
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4729962535	  -2.6535025785	  -0.3567414228
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612259	  -0.0067156660	   0.3422578604
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4734870347	  -2.6551824081	  -0.4686850458
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612258	  -0.0067156660	   0.3335862870
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4787583880	  -2.6581102720	  -0.5786709108
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612258	  -0.0067156660	   0.3249147136
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4823835681	  -2.6669051668	  -0.6817138711
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612257	  -0.0067156660	   0.3162431401
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4898243903	  -2.6791191856	  -0.7835333957
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612257	  -0.0067156660	   0.3075715667
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4962979194	  -2.6946369588	  -0.8760962575
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612256	  -0.0067156661	   0.2988999933
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5063161228	  -2.7108160976	  -0.9690245699
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612256	  -0.0067156661	   0.2902284199
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5161662021	  -2.7266726775	  -1.0567836660
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612255	  -0.0067156661	   0.2815568465
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5263053275	  -2.7428807105	  -1.1399587719
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612255	  -0.0067156661	   0.2728852730
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5419430343	  -2.7568045991	  -1.2165297426
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612255	  -0.0067156661	   0.2642136996
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5477093807	  -2.7681369052	  -1.3105491767
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612254	  -0.0067156662	   0.2555421262
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5523755655	  -2.7726323146	  -1.3872229954
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612254	  -0.0067156662	   0.2468705528
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5526969723	  -2.7716147107	  -1.4522198119
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612254	  -0.0067156662	   0.2381989794
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5496581688	  -2.7625362017	  -1.5010008306
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612253	  -0.0067156662	   0.2295274059
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5402617265	  -2.7419950841	  -1.5297717649
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612253	  -0.0067156662	   0.2208558325
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5249803121	  -2.7106691171	  -1.5344815258
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612252	  -0.0067156663	   0.2121842591
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.5040885666	  -2.6679358087	  -1.5083107401
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612252	  -0.0067156663	   0.2035126857
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4800952831	  -2.6170279251	  -1.4523204125
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612251	  -0.0067156663	   0.1948411123
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4572301287	  -2.5601660226	  -1.3643715795
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612251	  -0.0067156663	   0.1861695389
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.4736415180	  -2.5109262412	  -1.2347359858
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612250	  -0.0067156664	   0.1774979654
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.8163496070	  -2.7953624456	  -0.5765198067
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612249	  -0.0067156664	   0.1688263920
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.9882011163	  -3.3989449631	   0.0261246522
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612249	  -0.0067156664	   0.1601548186
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.0040413968	  -3.4445920279	   0.0269675291
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612248	  -0.0067156664	   0.1514832452
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.0206337938	  -3.4786188812	   0.0424540357
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612248	  -0.0067156664	   0.1428116718
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.2505341404	  -2.4982911068	  -0.7371014580
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612247	  -0.0067156665	   0.1341400984
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.2404083083	  -2.4943355077	  -0.6178979172
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612246	  -0.0067156665	   0.1254685250
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.0833283987	  -3.6237040520	   0.2215017039
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612246	  -0.0067156665	   0.1167969516
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.1107002243	  -3.6891150651	   0.3182867365
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612245	  -0.0067156665	   0.1081253782
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.1412179439	  -3.7623199364	   0.4257479427
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612245	  -0.0067156666	   0.0994538048
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.2044006001	  -2.5249560833	  -0.0073565475
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612244	  -0.0067156666	   0.0907822314
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.1943419334	  -2.5382869514	   0.1761997618
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612243	  -0.0067156666	   0.0821106580
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.2505460628	  -4.0366465451	   0.8209407638
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612242	  -0.0067156666	   0.0734390846
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.2905047607	  -4.1409049907	   0.9696107191
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612242	  -0.0067156666	   0.0647675112
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.3267114197	  -4.2443435736	   1.1196825975
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612241	  -0.0067156666	   0.0560959379
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.1417282220	  -2.5673013724	   0.9479281195
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612240	  -0.0067156667	   0.0474243645
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.1211315776	  -2.5614225963	   1.1376707657
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612239	  -0.0067156667	   0.0387527911
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.4154472738	  -4.5354317154	   1.5704965264
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612238	  -0.0067156667	   0.0300812177
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.4345534128	  -4.6163229840	   1.7178576980
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612237	  -0.0067156667	   0.0214096444
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.4461269567	  -4.6783508795	   1.8612869396
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612236	  -0.0067156667	   0.0127380710
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.0146868812	  -2.4871432517	   1.8282752824
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612235	  -0.0067156667	   0.0040664976
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.4325868553	  -4.7068745597	   2.1491850300
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612234	  -0.0067156667	  -0.0046050757
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.3864261028	  -4.6185502200	   2.2989669125
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612233	  -0.0067156667	  -0.0132766491
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.2991916326	  -4.4361881038	   2.4447384192
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612232	  -0.0067156667	  -0.0219482225
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.1823622814	  -4.1951881228	   2.5803134509
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612232	  -0.0067156667	  -0.0306197959
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -2.0585948561	  -3.9465777446	   2.7019425241
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612231	  -0.0067156667	  -0.0392913692
Ground state dipole moment (Debye):
	Dx	Dy	Dz
	  -1.9401391562	  -3.7059316701	   2.8125607210
Center of Mass (Angs):
	CMx	CMy	CMz
	  -0.0032612230	  -0.0067156667	  -0.0479629426
Ground state dipole moment (Debye):
	Dx	Dy	Dz
